Time(s) RTT_Flux1 RTT_Flux2
9.18208 NaN 0.12928
8.35152 NaN 0.12928
8.42592 NaN 0.12928
4.8656 NaN 0.65944
2.36416 NaN 0.12928
7.92816 NaN 0.12928
9.71456 NaN 0.12928
8.72448 NaN 0.12928
9.53152 NaN 0.12928
6.93264 NaN 0.12928
9.82272 NaN 0.12928
8.84928 NaN 0.12928
8.95744 NaN 0.12928
7.60464 NaN 0.12928
8.00304 NaN 0.12928
8.40096 NaN 0.12928
7.79552 NaN 0.12928
7.09024 NaN 0.12928
8.52576 NaN 0.12928
8.59184 NaN 0.12928
9.39008 NaN 0.12928
7.28944 NaN 0.12928
9.21536 NaN 0.12928
8.08576 NaN 0.12928
9.03232 NaN 0.12928
9.15712 NaN 0.12928
7.3888 NaN 0.12928
6.77504 NaN 0.12928
3.85344 NaN 0.12928
4.43296 NaN 0.12928
8.93248 NaN 0.12928
9.04896 NaN 0.12928
6.59248 NaN 0.12928
7.44704 NaN 0.12928
4.66592 NaN 0.32896
8.24336 NaN 0.12928
7.96976 NaN 0.12928
7.26448 NaN 0.12928
7.12352 NaN 0.12928
9.13216 NaN 0.12928
5.572 NaN 0.12928
6.75008 NaN 0.12928
9.42336 NaN 0.12928
9.24032 NaN 0.12928
9.1904 NaN 0.12928
8.65008 NaN 0.12928
2.19232 NaN 0.12928
9.54816 NaN 0.12928
6.94928 NaN 0.12928
9.36512 NaN 0.12928
9.83936 NaN 0.12928
9.65632 NaN 0.12928
5.52704 NaN 0.00832
