# index   rtt_flux1   rtt_flux2
396 0.01832 0.01832
397 0.01832 0.05832
398 0.01832 0.01832
399 0.01832 0.05832
400 0.01832 0.05832
401 0.01832 0.05832
402 0.01832 0.05832
403 0.01832 0.05832
404 0.01832 0.05832
405 0.01832 0.05832
406 0.01832 0.01832
407 0.01832 0.05832
408 0.01832 0.01832
409 0.01832 0.01832
410 0.01832 0.01832
411 0.01832 0.01832
412 0.01832 0.01832
413 0.01832 0.01832
414 0.01832 0.01832
415 0.01832 0.01832
416 0.01832 0.01832
417 0.01832 0.01832
418 0.01832 0.01832
419 0.01832 0.01832
420 0.01832 0.01832
421 0.01832 0.01832
422 0.01832 0.01832
423 0.01832 0.01832
424 0.01832 0.01832
425 0.01832 0.05832
426 0.01832 0.01832
427 0.01832 0.01832
428 0.01832 0.05832
429 0.01832 0.01832
430 0.01832 0.01832
431 0.01832 0.05832
432 0.01832 0.01832
433 0.01832 0.01832
434 0.01832 0.05832
435 0.01832 0.01832
436 0.01832 0.05832
437 0.01832 0.01832
438 0.01832 0.05832
439 0.01832 0.05832
440 0.01832 0.05832
441 0.01832 0.05832
442 0.01832 0.05832
443 0.01832 0.05832
444 0.01832 0.01832
445 0.01832 0.05832
446 0.01832 0.01832
447 0.01832 0.05832
448 0.01832 0.01832
449 0.01832 0.01832
450 0.01832 0.01832
451 0.01832 0.01832
452 0.01832 0.01832
453 0.01832 0.01832
454 0.01832 0.01832
455 0.01832 0.01832
456 0.01832 0.01832
457 0.01832 0.01832
458 0.01832 0.01832
459 0.01832 0.01832
460 0.01832 0.01832
461 0.01832 0.01832
462 0.01832 0.01832
463 0.01832 0.01832
464 0.01832 0.05832
465 0.01832 0.01832
466 0.01832 0.01832
467 0.01832 0.05832
468 0.01832 0.01832
469 0.01832 0.01832
470 0.01832 0.05832
471 0.01832 0.01832
472 0.01832 0.01832
473 0.01832 0.05832
474 0.01832 0.01832
475 0.01832 0.01832
476 0.01832 0.05832
477 0.01832 0.01832
478 0.01832 0.05832
479 0.01832 0.01832
480 0.01832 0.05832
481 0.01832 0.05832
482 0.01832 0.05832
483 0.01832 0.05832
484 0.01832 0.05832
485 0.01832 0.01832
486 0.01832 0.05832
487 0.01832 0.01832
488 0.01832 0.05832
489 0.01832 0.01832
490 0.01832 0.01832
491 0.01832 0.05832
492 0.01832 0.01832
493 0.01832 0.01832
494 0.01832 0.01832
495 0.01832 0.01832
496 0.01832 0.01832
497 0.01832 0.01832
498 0.01832 0.01832
499 0.01832 0.01832
500 0.01832 0.01832
